Customer_ID,Customer_Name,Region,State,Customer_Segment,Gender,Age
CUST0001,Customer 1,East,Odisha,Returning Customer,Male,22
CUST0002,Customer 2,North,Haryana,Loyal Customer,Male,50
CUST0003,Customer 3,South,Karnataka,New Customer,Female,44
CUST0004,Customer 4,North,Uttar Pradesh,New Customer,Female,21
CUST0005,Customer 5,North,Uttar Pradesh,Loyal Customer,Male,54
CUST0006,Customer 6,West,Maharashtra,New Customer,Male,53
CUST0007,Customer 7,South,Telangana,Returning Customer,Male,52
CUST0008,Customer 8,North,Haryana,Loyal Customer,Male,24
CUST0009,Customer 9,South,Telangana,New Customer,Male,54
CUST0010,Customer 10,North,Uttar Pradesh,Returning Customer,Female,38
CUST0011,Customer 11,West,Goa,Returning Customer,Female,33
CUST0012,Customer 12,South,Tamil Nadu,New Customer,Female,51
CUST0013,Customer 13,West,Rajasthan,Loyal Customer,Female,36
CUST0014,Customer 14,North,Delhi,Loyal Customer,Female,28
CUST0015,Customer 15,East,Odisha,Returning Customer,Female,20
CUST0016,Customer 16,North,Haryana,Returning Customer,Female,49
CUST0017,Customer 17,West,Maharashtra,New Customer,Female,48
CUST0018,Customer 18,North,Delhi,Loyal Customer,Female,54
CUST0019,Customer 19,West,Rajasthan,Loyal Customer,Female,40
CUST0020,Customer 20,North,Punjab,Returning Customer,Male,25
CUST0021,Customer 21,West,Maharashtra,New Customer,Female,26
CUST0022,Customer 22,South,Kerala,Returning Customer,Female,23
CUST0023,Customer 23,South,Kerala,Returning Customer,Female,26
CUST0024,Customer 24,West,Rajasthan,Loyal Customer,Female,40
CUST0025,Customer 25,West,Gujarat,New Customer,Male,29
CUST0026,Customer 26,South,Tamil Nadu,Loyal Customer,Male,18
CUST0027,Customer 27,West,Gujarat,Returning Customer,Female,18
CUST0028,Customer 28,South,Kerala,Loyal Customer,Female,54
CUST0029,Customer 29,East,Odisha,Loyal Customer,Male,47
CUST0030,Customer 30,West,Goa,Returning Customer,Female,24
CUST0031,Customer 31,West,Goa,New Customer,Male,22
CUST0032,Customer 32,South,Kerala,New Customer,Male,39
CUST0033,Customer 33,North,Delhi,New Customer,Male,52
CUST0034,Customer 34,North,Haryana,Loyal Customer,Male,22
CUST0035,Customer 35,South,Kerala,New Customer,Female,40
CUST0036,Customer 36,East,Jharkhand,New Customer,Male,49
CUST0037,Customer 37,West,Goa,Returning Customer,Female,23
CUST0038,Customer 38,South,Karnataka,Loyal Customer,Female,34
CUST0039,Customer 39,West,Gujarat,Loyal Customer,Male,31
CUST0040,Customer 40,East,Odisha,Loyal Customer,Male,51
CUST0041,Customer 41,East,West Bengal,Loyal Customer,Female,51
CUST0042,Customer 42,East,Odisha,Returning Customer,Male,52
CUST0043,Customer 43,East,Odisha,Loyal Customer,Male,33
CUST0044,Customer 44,West,Gujarat,New Customer,Female,40
CUST0045,Customer 45,North,Delhi,Returning Customer,Female,34
CUST0046,Customer 46,South,Telangana,Returning Customer,Female,41
CUST0047,Customer 47,North,Uttar Pradesh,New Customer,Male,48
CUST0048,Customer 48,South,Telangana,New Customer,Female,18
CUST0049,Customer 49,West,Rajasthan,Loyal Customer,Male,25
CUST0050,Customer 50,West,Gujarat,Returning Customer,Male,45
CUST0051,Customer 51,East,West Bengal,Loyal Customer,Female,47
CUST0052,Customer 52,West,Maharashtra,Loyal Customer,Male,28
CUST0053,Customer 53,South,Karnataka,New Customer,Female,27
CUST0054,Customer 54,West,Rajasthan,New Customer,Male,19
CUST0055,Customer 55,North,Delhi,Loyal Customer,Male,45
CUST0056,Customer 56,South,Tamil Nadu,New Customer,Female,31
CUST0057,Customer 57,East,Odisha,Loyal Customer,Female,34
CUST0058,Customer 58,West,Gujarat,New Customer,Female,47
CUST0059,Customer 59,West,Gujarat,Loyal Customer,Male,51
CUST0060,Customer 60,North,Punjab,New Customer,Male,27
CUST0061,Customer 61,South,Tamil Nadu,Returning Customer,Male,53
CUST0062,Customer 62,North,Haryana,Loyal Customer,Female,24
CUST0063,Customer 63,North,Uttar Pradesh,New Customer,Female,20
CUST0064,Customer 64,North,Punjab,Loyal Customer,Male,22
CUST0065,Customer 65,West,Rajasthan,Loyal Customer,Male,35
CUST0066,Customer 66,West,Goa,Loyal Customer,Male,51
CUST0067,Customer 67,East,Odisha,Returning Customer,Male,44
CUST0068,Customer 68,North,Punjab,Returning Customer,Female,22
CUST0069,Customer 69,South,Kerala,New Customer,Male,37
CUST0070,Customer 70,North,Uttar Pradesh,Loyal Customer,Female,27
CUST0071,Customer 71,East,Odisha,Returning Customer,Male,24
CUST0072,Customer 72,West,Goa,New Customer,Male,28
CUST0073,Customer 73,West,Goa,Returning Customer,Female,30
CUST0074,Customer 74,East,Bihar,New Customer,Female,19
CUST0075,Customer 75,East,Jharkhand,Returning Customer,Male,42
CUST0076,Customer 76,East,Bihar,Loyal Customer,Male,25
CUST0077,Customer 77,South,Karnataka,New Customer,Female,35
CUST0078,Customer 78,North,Uttar Pradesh,Returning Customer,Male,45
CUST0079,Customer 79,East,Jharkhand,New Customer,Female,38
CUST0080,Customer 80,North,Haryana,New Customer,Male,45
CUST0081,Customer 81,North,Haryana,New Customer,Male,34
CUST0082,Customer 82,North,Uttar Pradesh,New Customer,Female,25
CUST0083,Customer 83,West,Maharashtra,Returning Customer,Female,35
CUST0084,Customer 84,South,Karnataka,Loyal Customer,Male,25
CUST0085,Customer 85,South,Telangana,New Customer,Male,30
CUST0086,Customer 86,East,Bihar,Loyal Customer,Male,36
CUST0087,Customer 87,West,Gujarat,Returning Customer,Female,19
CUST0088,Customer 88,East,West Bengal,New Customer,Male,50
CUST0089,Customer 89,South,Kerala,New Customer,Female,24
CUST0090,Customer 90,West,Goa,Loyal Customer,Female,50
CUST0091,Customer 91,East,Odisha,New Customer,Female,30
CUST0092,Customer 92,South,Kerala,Returning Customer,Male,26
CUST0093,Customer 93,North,Delhi,Loyal Customer,Female,45
CUST0094,Customer 94,South,Karnataka,New Customer,Female,50
CUST0095,Customer 95,East,Odisha,Loyal Customer,Female,20
CUST0096,Customer 96,West,Gujarat,New Customer,Female,46
CUST0097,Customer 97,North,Haryana,Returning Customer,Female,53
CUST0098,Customer 98,East,Odisha,New Customer,Female,31
CUST0099,Customer 99,East,Odisha,New Customer,Female,42
CUST0100,Customer 100,North,Punjab,Returning Customer,Male,33
CUST0101,Customer 101,North,Delhi,Returning Customer,Male,27
CUST0102,Customer 102,West,Maharashtra,Returning Customer,Male,37
CUST0103,Customer 103,East,Odisha,New Customer,Male,42
CUST0104,Customer 104,East,Jharkhand,New Customer,Female,27
CUST0105,Customer 105,North,Punjab,Loyal Customer,Male,51
CUST0106,Customer 106,North,Uttar Pradesh,New Customer,Male,20
CUST0107,Customer 107,South,Telangana,New Customer,Female,46
CUST0108,Customer 108,North,Delhi,Loyal Customer,Male,49
CUST0109,Customer 109,East,West Bengal,Returning Customer,Male,50
CUST0110,Customer 110,North,Delhi,Loyal Customer,Female,34
CUST0111,Customer 111,North,Haryana,New Customer,Male,32
CUST0112,Customer 112,West,Goa,Returning Customer,Male,48
CUST0113,Customer 113,East,West Bengal,Loyal Customer,Male,22
CUST0114,Customer 114,South,Telangana,Returning Customer,Female,54
CUST0115,Customer 115,South,Karnataka,Returning Customer,Male,49
CUST0116,Customer 116,East,West Bengal,Loyal Customer,Male,49
CUST0117,Customer 117,East,Bihar,Returning Customer,Female,47
CUST0118,Customer 118,North,Uttar Pradesh,Returning Customer,Male,48
CUST0119,Customer 119,North,Haryana,Returning Customer,Male,50
CUST0120,Customer 120,West,Rajasthan,Returning Customer,Male,31
CUST0121,Customer 121,North,Delhi,New Customer,Female,41
CUST0122,Customer 122,South,Telangana,New Customer,Female,32
CUST0123,Customer 123,West,Goa,Returning Customer,Male,28
CUST0124,Customer 124,North,Punjab,Loyal Customer,Female,43
CUST0125,Customer 125,East,Odisha,Returning Customer,Female,42
CUST0126,Customer 126,East,West Bengal,Returning Customer,Male,38
CUST0127,Customer 127,East,Jharkhand,New Customer,Male,18
CUST0128,Customer 128,East,Bihar,Returning Customer,Male,43
CUST0129,Customer 129,West,Maharashtra,Returning Customer,Female,35
CUST0130,Customer 130,North,Haryana,New Customer,Male,36
CUST0131,Customer 131,South,Tamil Nadu,Returning Customer,Female,50
CUST0132,Customer 132,East,Odisha,Returning Customer,Female,19
CUST0133,Customer 133,West,Gujarat,Loyal Customer,Male,21
CUST0134,Customer 134,West,Goa,Loyal Customer,Male,36
CUST0135,Customer 135,West,Maharashtra,Loyal Customer,Male,28
CUST0136,Customer 136,West,Goa,Returning Customer,Female,37
CUST0137,Customer 137,East,Bihar,Returning Customer,Male,37
CUST0138,Customer 138,West,Goa,New Customer,Male,28
CUST0139,Customer 139,North,Uttar Pradesh,Loyal Customer,Female,53
CUST0140,Customer 140,South,Kerala,Returning Customer,Female,45
CUST0141,Customer 141,South,Tamil Nadu,New Customer,Male,29
CUST0142,Customer 142,East,West Bengal,Returning Customer,Male,41
CUST0143,Customer 143,East,Odisha,New Customer,Female,42
CUST0144,Customer 144,West,Gujarat,Returning Customer,Female,39
CUST0145,Customer 145,North,Punjab,Returning Customer,Female,26
CUST0146,Customer 146,South,Karnataka,Returning Customer,Male,42
CUST0147,Customer 147,West,Goa,Returning Customer,Female,19
CUST0148,Customer 148,South,Karnataka,Returning Customer,Female,55
CUST0149,Customer 149,West,Maharashtra,New Customer,Female,51
CUST0150,Customer 150,West,Goa,New Customer,Male,32
CUST0151,Customer 151,South,Tamil Nadu,Loyal Customer,Male,47
CUST0152,Customer 152,North,Delhi,New Customer,Male,32
CUST0153,Customer 153,North,Haryana,New Customer,Female,51
CUST0154,Customer 154,West,Maharashtra,New Customer,Male,37
CUST0155,Customer 155,South,Kerala,Returning Customer,Male,18
CUST0156,Customer 156,North,Haryana,Returning Customer,Female,38
CUST0157,Customer 157,South,Kerala,Loyal Customer,Male,53
CUST0158,Customer 158,South,Karnataka,Returning Customer,Female,21
CUST0159,Customer 159,North,Uttar Pradesh,Returning Customer,Female,23
CUST0160,Customer 160,East,Odisha,Loyal Customer,Female,41
CUST0161,Customer 161,South,Kerala,New Customer,Female,44
CUST0162,Customer 162,East,Jharkhand,New Customer,Male,36
CUST0163,Customer 163,North,Uttar Pradesh,Returning Customer,Male,37
CUST0164,Customer 164,South,Tamil Nadu,Returning Customer,Male,34
CUST0165,Customer 165,East,West Bengal,Loyal Customer,Female,29
CUST0166,Customer 166,South,Kerala,Returning Customer,Male,27
CUST0167,Customer 167,West,Maharashtra,New Customer,Male,27
CUST0168,Customer 168,West,Maharashtra,Loyal Customer,Male,29
CUST0169,Customer 169,West,Goa,Loyal Customer,Female,25
CUST0170,Customer 170,North,Uttar Pradesh,Returning Customer,Male,29
CUST0171,Customer 171,West,Maharashtra,Returning Customer,Female,41
CUST0172,Customer 172,East,Jharkhand,New Customer,Male,18
CUST0173,Customer 173,North,Haryana,New Customer,Female,44
CUST0174,Customer 174,North,Uttar Pradesh,Returning Customer,Female,37
CUST0175,Customer 175,West,Maharashtra,New Customer,Female,30
CUST0176,Customer 176,East,Jharkhand,New Customer,Female,41
CUST0177,Customer 177,West,Maharashtra,Loyal Customer,Female,33
CUST0178,Customer 178,West,Maharashtra,Returning Customer,Male,47
CUST0179,Customer 179,North,Delhi,Returning Customer,Male,22
CUST0180,Customer 180,East,Bihar,Returning Customer,Female,20
CUST0181,Customer 181,East,Bihar,Returning Customer,Female,18
CUST0182,Customer 182,North,Delhi,New Customer,Male,48
CUST0183,Customer 183,West,Goa,Returning Customer,Female,49
CUST0184,Customer 184,South,Kerala,New Customer,Male,37
CUST0185,Customer 185,South,Tamil Nadu,Returning Customer,Female,47
CUST0186,Customer 186,East,West Bengal,Loyal Customer,Male,43
CUST0187,Customer 187,South,Tamil Nadu,Returning Customer,Male,20
CUST0188,Customer 188,West,Rajasthan,New Customer,Female,24
CUST0189,Customer 189,North,Haryana,Loyal Customer,Male,31
CUST0190,Customer 190,North,Punjab,Returning Customer,Female,29
CUST0191,Customer 191,South,Tamil Nadu,Returning Customer,Female,33
CUST0192,Customer 192,North,Haryana,Returning Customer,Female,54
CUST0193,Customer 193,East,Bihar,Returning Customer,Female,30
CUST0194,Customer 194,West,Gujarat,New Customer,Male,33
CUST0195,Customer 195,South,Telangana,Loyal Customer,Male,38
CUST0196,Customer 196,North,Punjab,Returning Customer,Male,50
CUST0197,Customer 197,South,Karnataka,Loyal Customer,Female,20
CUST0198,Customer 198,North,Delhi,Returning Customer,Male,46
CUST0199,Customer 199,East,West Bengal,Returning Customer,Male,25
CUST0200,Customer 200,North,Uttar Pradesh,Loyal Customer,Male,22
CUST0201,Customer 201,East,Odisha,Returning Customer,Female,18
CUST0202,Customer 202,North,Haryana,New Customer,Male,41
CUST0203,Customer 203,East,Odisha,New Customer,Male,34
CUST0204,Customer 204,North,Uttar Pradesh,New Customer,Female,44
CUST0205,Customer 205,East,Odisha,Loyal Customer,Female,22
CUST0206,Customer 206,South,Karnataka,Returning Customer,Female,22
CUST0207,Customer 207,West,Maharashtra,Returning Customer,Male,52
CUST0208,Customer 208,North,Uttar Pradesh,Returning Customer,Female,44
CUST0209,Customer 209,East,Bihar,Returning Customer,Male,37
CUST0210,Customer 210,East,Jharkhand,Returning Customer,Male,41
CUST0211,Customer 211,South,Kerala,Loyal Customer,Female,31
CUST0212,Customer 212,North,Punjab,New Customer,Female,25
CUST0213,Customer 213,North,Punjab,Loyal Customer,Female,47
CUST0214,Customer 214,South,Tamil Nadu,New Customer,Male,53
CUST0215,Customer 215,South,Kerala,New Customer,Female,50
CUST0216,Customer 216,South,Tamil Nadu,Returning Customer,Female,28
CUST0217,Customer 217,South,Karnataka,New Customer,Female,49
CUST0218,Customer 218,South,Telangana,New Customer,Male,48
CUST0219,Customer 219,East,West Bengal,Loyal Customer,Female,23
CUST0220,Customer 220,South,Tamil Nadu,Loyal Customer,Female,30
CUST0221,Customer 221,West,Gujarat,Loyal Customer,Male,20
CUST0222,Customer 222,West,Gujarat,Returning Customer,Female,25
CUST0223,Customer 223,South,Tamil Nadu,Loyal Customer,Male,20
CUST0224,Customer 224,North,Haryana,New Customer,Female,47
CUST0225,Customer 225,East,Jharkhand,Returning Customer,Male,45
CUST0226,Customer 226,West,Rajasthan,Returning Customer,Female,29
CUST0227,Customer 227,North,Delhi,Loyal Customer,Female,47
CUST0228,Customer 228,South,Kerala,Loyal Customer,Female,29
CUST0229,Customer 229,West,Goa,New Customer,Male,26
CUST0230,Customer 230,East,Jharkhand,Returning Customer,Male,46
CUST0231,Customer 231,North,Delhi,Loyal Customer,Male,23
CUST0232,Customer 232,East,West Bengal,New Customer,Female,26
CUST0233,Customer 233,North,Delhi,Loyal Customer,Male,30
CUST0234,Customer 234,South,Kerala,Returning Customer,Male,32
CUST0235,Customer 235,North,Haryana,Loyal Customer,Female,28
CUST0236,Customer 236,East,Bihar,Returning Customer,Male,34
